Ideal_PH,Well_deep,Water_temp,jet_pump,rainy_area,validity
6,60,2,1,0,0
6,39,2,1,1,1
8,50,3,0,1,0
8,41,3,0,1,1
6,49,3,1,1,1
7,59,2,0,1,1
6,33,3,1,0,1
7,45,2,0,1,0
7,40,2,0,1,1
8,38,3,1,0,0
6,41,2,0,1,0
7,44,3,0,1,0
6,58,3,0,0,1
7,60,3,1,0,0
8,40,2,0,1,0
8,59,2,0,1,0
7,53,2,1,1,1
7,56,2,0,1,0
6,51,3,1,0,1
6,59,3,0,1,1
6,35,3,0,1,0
6,30,3,1,0,1
6,45,2,0,1,0
8,58,3,1,0,1
8,34,3,0,1,1
8,41,2,1,0,0
6,40,3,0,1,0
8,36,2,1,0,0
7,34,2,1,0,0
7,31,2,1,0,0
6,34,2,1,0,0
7,38,3,1,0,1
7,51,2,0,0,1
6,33,3,0,0,1
6,59,2,1,0,0
6,43,2,0,1,1
6,31,2,0,0,1
6,40,2,1,1,1
7,46,2,0,1,1
6,37,2,1,0,1
6,60,3,1,0,1
7,53,3,0,0,1
7,52,3,0,1,1
8,38,3,0,0,0
6,32,2,1,0,0
8,59,3,0,0,0
6,60,2,0,0,1
6,44,2,1,0,0
8,40,2,0,0,0
6,57,3,1,1,1
8,47,3,1,1,1
6,33,3,1,0,1
7,60,3,1,1,1
8,40,3,0,0,1
6,35,2,0,1,0
7,38,2,1,1,0
8,30,3,1,0,1
6,51,2,0,0,1
6,53,2,0,0,0
7,47,3,0,0,0
7,53,3,1,0,0
6,38,3,1,0,0
8,51,3,0,0,0
7,56,2,1,0,0
6,52,2,1,1,0
7,50,2,1,0,1
6,55,2,0,0,0
8,57,3,0,1,0
8,36,2,0,1,0
6,34,3,1,0,0
7,40,3,0,1,1
8,56,2,0,1,1
7,42,3,1,1,1
8,54,3,1,1,1
7,60,3,0,0,0
7,41,3,0,0,1
6,57,2,0,0,1
8,59,2,0,0,0
6,43,3,1,0,0
8,54,3,0,1,0
7,48,3,1,1,1
7,38,3,1,0,0
6,44,3,1,0,0
6,56,2,0,0,0
7,35,3,1,1,1
7,54,3,0,0,0
6,57,2,0,1,1
7,53,2,1,1,0
8,55,3,0,0,0
8,33,2,1,1,1
8,48,2,0,1,1
8,37,2,1,1,1
8,52,2,1,1,0
7,54,2,0,1,1
6,31,3,0,0,0
8,32,2,0,1,0
8,57,3,0,0,1
6,31,2,0,0,1
8,39,2,1,0,1
7,35,3,1,0,0
6,45,2,1,1,0
8,42,2,0,1,1
6,52,3,1,1,0
8,54,2,0,0,1
6,54,3,1,0,1
6,49,2,1,0,1
8,31,2,1,1,0
6,58,3,0,0,0
8,44,2,1,0,1
6,47,2,0,0,0
8,32,2,0,1,0
7,32,2,1,1,0
7,45,2,0,0,1
6,48,3,0,1,1
8,41,3,1,1,1
7,40,2,1,0,1
6,38,2,1,1,0
7,46,3,1,0,0
6,44,3,1,0,0
8,34,3,1,1,0
6,54,3,0,0,0
6,46,3,1,1,0
8,59,2,0,1,1
8,38,2,1,1,0
8,32,3,0,1,1
7,59,2,1,0,0
7,34,3,0,0,1
8,37,3,0,0,0
8,30,2,1,1,1
7,35,3,0,0,0
7,60,2,1,0,0
7,30,3,0,1,1
8,57,2,1,0,1
6,54,2,0,1,1
6,54,2,1,0,1
6,35,3,0,0,0
7,60,3,0,1,1
6,53,3,0,0,0
6,41,3,1,0,0
7,49,2,0,0,0
7,34,3,0,0,1
8,55,2,1,1,1
6,50,3,1,1,1
7,54,3,0,0,1
7,55,3,0,1,1
8,56,2,0,1,1
7,53,2,1,1,1
8,41,2,0,1,0
6,42,2,1,0,1
8,33,3,1,0,0
6,50,2,1,1,0
8,31,3,0,1,1
8,34,2,0,0,0
6,44,3,0,1,1
8,52,2,1,1,0
7,34,2,1,0,1
8,41,2,1,1,0
8,50,3,0,0,1
8,32,2,1,0,0
7,40,2,1,1,0
6,32,2,0,0,1
8,30,2,0,0,1
7,48,3,0,0,1
8,44,2,0,0,1
7,40,2,1,1,0
8,31,3,0,1,1
6,49,3,0,0,0
7,58,3,0,1,1
8,30,3,0,0,0
8,40,2,0,1,1
8,47,3,0,1,1
8,30,2,1,1,1
6,34,2,0,1,0
8,45,2,1,1,0
6,54,2,1,1,1
7,51,2,0,0,0
8,31,3,0,1,1
6,36,3,1,0,1
7,59,2,1,0,0
7,55,3,1,0,0
7,58,2,1,1,0
8,31,3,0,0,0
6,32,2,0,1,0
8,39,2,1,1,0
7,41,3,0,1,0
7,41,3,1,1,0
7,53,2,1,0,1
8,45,3,0,1,0
6,37,2,0,1,1
8,37,3,1,1,1
6,37,3,0,0,1
8,51,2,0,1,1
6,31,3,1,0,1
8,47,3,0,1,1
7,45,2,0,1,1
7,47,3,1,1,0
8,37,2,1,1,1
8,45,3,0,0,1
7,45,3,1,1,0
7,54,2,0,0,0
7,56,3,0,1,0
8,50,3,1,0,0
7,44,2,0,0,0
6,43,2,1,1,0
7,42,2,0,1,1
7,37,2,0,1,1
7,33,3,0,1,1
8,37,2,0,0,1
8,42,2,0,1,0
6,32,2,1,0,1
7,32,2,0,0,0
6,44,2,0,1,0
8,41,3,1,1,1
7,49,2,0,1,0
6,38,3,1,1,1
8,55,2,0,1,0
7,41,3,1,1,0
7,37,3,1,1,0
7,37,3,0,0,0
8,54,2,0,0,1
8,37,3,0,0,1
8,56,3,0,1,1
7,35,3,0,0,0
8,49,3,0,0,0
7,60,3,1,1,1
8,54,2,0,0,0
7,35,3,0,0,1
6,49,2,1,0,0
7,32,2,1,0,1
7,55,2,0,1,0
6,46,2,1,1,1
6,60,3,1,0,0
6,45,3,1,0,0
6,58,2,0,0,0
7,50,3,0,1,1
7,41,2,1,0,1
6,37,3,0,0,1
6,41,2,0,1,0
7,32,2,0,1,0
8,45,2,0,1,1
7,39,3,0,0,0
6,33,2,0,1,1
6,55,2,1,0,0
8,48,3,0,0,1
7,38,2,1,1,0
6,59,3,1,0,0
8,38,2,0,0,0
7,45,3,0,1,0
8,46,2,1,0,1
7,33,3,1,1,1
6,32,2,0,0,0
8,37,3,0,0,1
8,34,3,1,0,0
8,41,2,0,1,0
6,58,2,1,1,1
7,38,3,0,1,0
8,51,2,1,0,0
6,39,3,0,1,0
8,44,3,0,1,1
7,43,2,1,1,0
8,30,3,1,1,0
7,38,3,0,0,0
7,48,3,0,0,0
8,45,3,1,1,0
7,50,3,1,1,1
7,34,2,1,1,0
7,56,2,1,0,1
8,54,2,1,0,0
8,35,2,1,1,1
8,55,2,1,0,0
7,48,3,1,0,1
6,36,3,1,1,1
7,51,2,1,1,1
6,43,2,0,1,0
8,60,2,1,0,0
7,38,3,0,0,0
7,38,3,0,0,1
8,53,3,1,0,0
8,59,3,1,0,1
8,55,2,1,0,0
7,32,3,0,1,0
7,59,3,0,1,0
7,57,3,1,1,1
6,41,2,1,1,1
6,35,2,0,1,0
7,45,3,1,0,0
7,52,2,0,0,1
8,51,2,0,0,1
7,59,3,1,0,0
8,37,3,0,0,0
